 Unit,Property,Floorplan,Beds,Baths,Min Rent,Max Rent,Ready On,Active On,Lock ID,Waitlist Unit,Model Unit 
"1310","Waterford Landings","A3","1","1","1232","1232","N/A","N/A","","No","No" 
"1604","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"1613","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"1208","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1719","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"1720","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"604","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"511","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1611","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"1616","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"420","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"412","Waterford Landings","B1","2","2","1350","1350","N/A","N/A","","No","No" 
"1624","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"1703","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"1707","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"1713","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"1714","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"1715","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"1722","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"1723","Waterford Landings","A2.2","1","1","1136","1136","N/A","N/A","","No","No" 
"212","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"204","Waterford Landings","B1","2","2","1330","1330","N/A","N/A","","No","No" 
"203","Waterford Landings","B1","2","2","1313","1313","N/A","N/A","","No","No" 
"1210","Waterford Landings","B1","2","2","1375","1375","N/A","N/A","","No","No" 
"1203","Waterford Landings","B1","2","2","1320","1320","N/A","N/A","","No","No" 
"216","Waterford Landings","A2-P","1","1","1220","1220","N/A","N/A","","No","No" 
"201","Waterford Landings","A2-P","1","1","1188","1188","N/A","N/A","","No","No" 
"215","Waterford Landings","A1","1","1","1015","1015","N/A","N/A","","No","No" 
"617","Waterford Landings","A1","1","1","1000","1000","N/A","N/A","","No","No" 
"913","Waterford Landings","A1","1","1","1010","1010","N/A","N/A","","No","No" 
"1117","Waterford Landings","A1","1","1","1005","1005","N/A","N/A","","No","No" 
"223","Waterford Landings","A1","1","1","1020","1020","N/A","N/A","","No","No" 
"713","Waterford Landings","A1","1","1","1035","1035","N/A","N/A","","No","No" 
"917","Waterford Landings","A1","1","1","1005","1005","N/A","N/A","","No","No" 
"920","Waterford Landings","A1","1","1","1000","1000","N/A","N/A","","No","No" 
"1013","Waterford Landings","A1","1","1","1005","1005","N/A","N/A","","No","No" 
"1017","Waterford Landings","A1","1","1","1025","1025","N/A","N/A","","No","No" 
"1020","Waterford Landings","A1","1","1","1000","1000","N/A","N/A","","No","No" 
"1301","Waterford Landings","C1.2","3","2","1455","1455","N/A","N/A","","No","No" 
"1113","Waterford Landings","A1","1","1","1019","1019","N/A","N/A","","No","No" 
"210","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
"601","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
"701","Waterford Landings","A2","1","1","1118","1118","N/A","N/A","","No","No" 
"805","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
"906","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
"909","Waterford Landings","A2","1","1","1090","1090","N/A","N/A","","No","No" 
"1003","Waterford Landings","B1","2","2","1318","1318","N/A","N/A","","No","No" 
"911","Waterford Landings","B1","2","2","1329","1329","N/A","N/A","","No","No" 
"1018","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
"1105","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
